DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Saint Marteen (NL),St. Maarten Princess Juliana,PMI,Regular,Full Flavor,SLI,KS,2,226377380,33.5
Argentina,Buenos Aires - Ezeiza,PMI,NTD Caps,Full Flavor,STD,KS,1,13314600,3.1
China,Zhengzhou Xinzheng,PMI,Menthol Caps,Full Flavor,STD,KS,3,2844600,0
Japan,Okayama,PMI,Regular,Full Flavor,STD,KS,3,10066000,0.1
Namibia,Windhoek,PMI,NTD Caps,Full Flavor,STD,KS,1,1600000,0.6
Tunisia,Tunis,PMI,Menthol,Full Flavor,STD,KS,1,9588200,0
Turkey,Antalya Airport,PMI,Regular,Full Flavor,SSL,KS,1,106493400,0.1
Mexico,Queretaro,PMI,Menthol,Full Flavor,STD,KS,1,502656,0
China,Weihai Dashuibo,PMI,NTD Caps,Full Flavor,STD,KS,1,410400,0
Brazil,Natal,PMI,Menthol,Full Flavor,STD,KS,1,880000,0
Spain,Ibiza,PMI,Regular,Full Flavor,SLI,KS,1,51138800,0.4
Turkey,Istanbul Airport,PMI,Regular,Full Flavor,STD,KS,46,36583893800,22.4
Jordan,Aqaba,PMI,NTD Caps,Full Flavor,STD,KS,4,1766000,0
India,Amritsar,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Tunisia,Tunis,PMI,Regular,Full Flavor,STD,KS,15,8259292800,37
Japan,Tokyo - Narita,PMI,Regular,Full Flavor,STD,KS,11,2581178800,18.9
Turkey,Kutahya Airport,PMI,Regular,Full Flavor,STD,KS,31,80784800,0
Russia,Krasnoyarsk,PMI,Regular,Full Flavor,STD,KS,9,48394600,8.6
Dominican Republic,La Romana,PMI,Regular,Full Flavor,SLI,KS,3,59143200,0.6
Russia,St. Petersburg Pulkovo,PMI,Regular,Full Flavor,STD,KS,7,38961400,6.9
Spain,Palma De Mallorca,PMI,Regular,Full Flavor,STD,KS,8,1380559000,11.7
Qatar,Doha,PMI,Regular,Full Flavor,SLI,KS,13,6947852000,39.4
Kuwait,Kuwait,PMI,Regular,Full Flavor,SLI,KS,11,5579032400,34.5
Bangladesh,Zia,PMI,Regular,Full Flavor,STD,KS,12,50048376,43
Turkey,Bodrum Airport,PMI,Regular,Full Flavor,STD,KS,45,1023068200,0.6
China,Wenzhou Longwan,PMI,Regular,Full Flavor,STD,KS,2,21715600,0.3
Turkey,Antalya Gazipasa Airport,PMI,NTD Caps,Full Flavor,STD,KS,13,117448400,0.1
China,Shenyang Taoxian,PMI,Menthol Caps,Full Flavor,STD,KS,3,68552200,0.9
Iraq,Baghdad,PMI,Regular,Full Flavor,STD,KS,11,900860000,24.7
Turkey,Eskisehir Airport,PMI,Regular,Lights,STD,KS,1,103600,0
Belarus,Minsk,PMI,Regular,Full Flavor,STD,KS,2,3769440,100
United Arab Emirates,Dubai,PMI,NTD Caps,Full Flavor,STD,KS,11,3171275200,9.3
China,Jinan Xiaoqiang,PMI,Menthol,Full Flavor,STD,KS,2,2880800,0
Dominican Republic,Puerto Plata,PMI,Regular,Full Flavor,STD,KS,11,216169400,2.2
Egypt,Hurgada,PMI,NTD Caps,Full Flavor,STD,KS,6,443037800,1.3
Greece,Heraklion Airport,PMI,Regular,Full Flavor,STD,KS,10,50217200,3.9
Caribbean Other,Antigua,PMI,NTD Caps,Full Flavor,STD,KS,2,3369400,0.6
Austria,Vienna,PMI,Regular,Full Flavor,SLI,KS,2,15299400,21.1
United Arab Emirates,Abu Dhabi,PMI,Regular,Full Flavor,STD,KS,17,3313177200,9.7
Turkey,Izmir Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,439448800,0.3
Malaysia,Kota Kinabalu,PMI,Menthol,Full Flavor,STD,KS,2,3578200,0.4
Japan,Chitose,PMI,Menthol Caps,Full Flavor,STD,KS,4,28960000,0.2
Suriname,Paramaribo,PMI,Menthol,Full Flavor,STD,KS,1,19064665,2.2
Russia,Moscow - Sheremetyevo,PMI,Regular,Full Flavor,STD,KS,11,188298800,33.5
China,Chongqing Jiangbei,PMI,NTD Caps,Full Flavor,STD,KS,7,25184800,0.3
Japan,Shizuoka,PMI,NTD Caps,Full Flavor,STD,KS,2,1526800,0
Vietnam,Cam Ranh,PMI,Regular,Full Flavor,STD,KS,4,56565200,5.3
China,Pengsheng,PMI,Menthol,Full Flavor,STD,KS,3,7031800,0.1
Australia,Perth,PMI,Menthol,Full Flavor,STD,KS,2,167800,0.6
Suriname,Paramaribo,PMI,Regular,Full Flavor,STD,KS,8,294751907,33.4
China,Hohhot Baita,PMI,Menthol Caps,Full Flavor,STD,KS,2,4570000,0.1
Japan,Takamatsu,PMI,Regular,Full Flavor,STD,KS,5,7978200,0.1
Taiwan,Everrich Downtown Kinmen,PMI,Regular,Full Flavor,STD,KS,7,77882240,5.9
Japan,Okayama,PMI,NTD Caps,Full Flavor,STD,KS,6,5754800,0
New Zealand,Auckland,PMI,Menthol Caps,Full Flavor,STD,KS,2,1650000,14.1
China,Fuzhou Changle,PMI,Regular,Full Flavor,STD,KS,5,8634600,0.1
Canary Islands,La Palma,PMI,Regular,Full Flavor,STD,KS,5,6291200,0.3
South Africa,Cape Town,PMI,Menthol Caps,Full Flavor,STD,KS,1,18847800,4.9
Kenya,Jomo Kenyatta,PMI,Regular,Full Flavor,SLI,KS,5,665211263,55.2
Morocco,Fes,PMI,NTD Caps,Full Flavor,STD,KS,7,38942200,0.2
Mexico,Cancun,PMI,Menthol Caps,Full Flavor,STD,KS,3,115499200,0.7
South Korea,Jeju (downtown),PMI,NTD Caps,Full Flavor,STD,KS,5,194833400,1.2
Norway,Stavanger,PMI,NTD Caps,Full Flavor,STD,KS,2,5281400,0.9
French Guyana,Cayenne,PMI,Regular,Full Flavor,SLI,KS,2,86811600,23.5
Great Britain,London Gatwick,PMI,Regular,Full Flavor,SLI,KS,2,407196400,7.8
China,Hohhot Baita,PMI,Regular,Full Flavor,STD,KS,3,13747600,0.2
Serbia,Nis,PMI,Regular,Full Flavor,SLI,KS,2,2747400,3.5
Spain,Sevilla,PMI,Regular,Full Flavor,SLI,KS,1,29029400,0.2
Tunisia,Enfidha,PMI,Menthol Caps,Full Flavor,STD,KS,3,8871200,0
Mexico,Ixtapa Zihuatanejo,PMI,Regular,Full Flavor,SLI,KS,3,4879800,0
Italy,Milan - Malpensa,PMI,Regular,Full Flavor,SLI,KS,3,190424800,4.3
Vietnam,Danang Downtown Shop,PMI,Regular,Full Flavor,STD,KS,4,734200,0.1
Ivory Coast,Abidjan,PMI,Menthol Caps,Full Flavor,STD,KS,1,3083200,0.5
Greece,Alexandoupolis,PMI,Regular,Full Flavor,STD,KS,4,36674800,2.8
Morocco,Rabat,PMI,Regular,Full Flavor,SLI,KS,1,10878000,0
China,Kunming Wujiaba,PMI,Regular,Full Flavor,STD,KS,6,89331000,1.1
Morocco,Fes,PMI,Menthol,Full Flavor,STD,KS,1,15432800,0.1
Philippines,Kalibo,PMI,Regular,Full Flavor,STD,KS,2,499400,0.7
Japan,Osaka - Kansai,PMI,Regular,Full Flavor,SLI,KS,2,883200,0
Taiwan,Taipei - Taoyuan,PMI,Regular,Full Flavor,STD,KS,7,869457586,65.4
Portugal,Madeira,PMI,Regular,Full Flavor,SLI,KS,2,13713200,1.9
Barbados,Bridgetown,PMI,Regular,Full Flavor,SLI,KS,3,117449924,16.3
Peru,Lima,PMI,Menthol Caps,Full Flavor,STD,KS,2,68418600,2.9
Mexico,Mazatlan,PMI,Menthol,Full Flavor,STD,KS,1,1126400,0
Guatemala,Guatemala City,PMI,NTD Caps,Full Flavor,STD,KS,2,189979200,22.3
Japan,Chubu,PMI,Menthol,Full Flavor,STD,KS,4,80990000,0.6
Great Britain,Exeter,PMI,Regular,Full Flavor,SLI,KS,2,3371200,0.1
United Arab Emirates,Dubai,PMI,Regular,Full Flavor,SLI,KS,7,5006598400,14.7
Brazil,Natal,PMI,NTD Caps,Full Flavor,SSL,KS,1,295400,0
Australia,Melbourne,PMI,Regular,Full Flavor,STD,KS,5,5825110,22.5
Mexico,Puerto Vallarta,PMI,Menthol,Full Flavor,STD,KS,1,79622400,0.5
Greece,Samos,PMI,Regular,Full Flavor,STD,KS,1,411600,0
South Korea,Muan,PMI,Regular,1mg,SSL,KS,1,371000,0
Jordan,Marka,PMI,Regular,Full Flavor,SLI,KS,1,32000,0
Belize,Belize City,PMI,Regular,Full Flavor,SLI,KS,1,120320470,30.3
Egypt,Asyut,PMI,Menthol Caps,Full Flavor,STD,KS,2,2660000,0
Jordan,Aqaba,PMI,Menthol Caps,Full Flavor,STD,KS,1,595200,0
Croatia,Dubrovnik,PMI,Regular,Full Flavor,STD,KS,1,9092400,25.3
China,Xiamen Gaoqi,PMI,Menthol Caps,Full Flavor,STD,KS,3,80341400,1
Greece,Chania,PMI,Regular,Full Flavor,SSL,KS,1,135200,0
France,Paris Orly,PMI,Regular,Full Flavor,SLI,KS,2,1072634400,8.8
Vietnam,Phu Quok,PMI,Menthol Caps,Full Flavor,STD,KS,3,11480800,1.1
Myanmar,Yangon,PMI,NTD Caps,Full Flavor,STD,KS,1,737200,2.4
Greece,Kos,PMI,Regular,Full Flavor,STD,KS,4,46878600,3.6
Great Britain,Jersey,PMI,Regular,Full Flavor,STD,KS,2,51005600,1
Turkey,Eskisehir Airport,PMI,Menthol Caps,Full Flavor,STD,KS,4,2091400,0
Dominican Republic,Punta Cana - Higuey,PMI,Regular,Full Flavor,SLI,KS,3,2121073200,21.7
United Arab Emirates,Abu Dhabi,PMI,Regular,Ultralights,STD,KS,1,28004400,0.1
Ghana,Accra,PMI,Menthol Caps,Full Flavor,STD,KS,1,3050400,1.1
China,Chengdu Tianfu,PMI,Menthol,Full Flavor,STD,KS,2,16158400,0.2
Australia,Sydney,PMI,NTD Caps,Full Flavor,STD,KS,3,364376,1.4
South Korea,Daegu,PMI,Regular,Lights,SLI,KS,1,18608600,0.1
Qatar,Doha,PMI,Menthol,Full Flavor,STD,KS,1,366261600,2.1
"Congo, Rep. Dem.",Kinshasa,PMI,Regular,Full Flavor,SLI,KS,2,18800000,21.4
Ghana,Accra,PMI,Menthol,Full Flavor,STD,KS,1,2521200,0.9
Tanzania,Dar Es Salaam,PMI,NTD Caps,Full Flavor,STD,KS,1,35596800,3.8
Egypt,Sharm El Sheikh,PMI,,,,,1,345317,0
Caribbean Other,Port-au-Prince (Haiti),PMI,Menthol,Full Flavor,STD,KS,1,3097600,0.5
Cape Verde,Espargos,PMI,Menthol Caps,Full Flavor,STD,KS,1,59925600,1
Sweden,Nykoping,PMI,Regular,Full Flavor,STD,KS,1,690000,0.3
South Africa,Johannesburg,PMI,Menthol Caps,Full Flavor,STD,KS,1,50276229,13.2
Great Britain,Manchester,PMI,Regular,Full Flavor,STD,KS,4,388424600,7.5
Brazil,Fortaleza,PMI,NTD Caps,Full Flavor,STD,KS,2,17253600,0.3
Turkey,Diyarbakir Airport,PMI,Regular,Full Flavor,STD,KS,43,516962400,0.3
India,Jaipur,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Ireland,Cork,PMI,Regular,Full Flavor,STD,KS,3,11968000,5
Canary Islands,Lanzarote,PMI,Regular,Full Flavor,SLI,KS,3,170409000,9.3
Cambodia,Phnom Penh,PMI,Menthol Caps,Full Flavor,STD,KS,3,24051800,34.5
Turkey,Ankara Airport,PMI,Regular,Full Flavor,SLI,KS,9,1165873600,0.7
Saudi Arabia,DAMMAM,PMI,Regular,Full Flavor,SLI,KS,8,181052800,4.4
Brazil,Viracopos,PMI,Regular,Full Flavor,SLI,KS,3,86296200,1.4
Serbia,Belgrade,PMI,Regular,Full Flavor,SLI,KS,2,47404800,60.3
Great Britain,Newcastle,PMI,Regular,Full Flavor,STD,KS,4,38011600,0.7
Great Britain,Norwich,PMI,Regular,Full Flavor,SLI,KS,2,4236200,0.1
Mexico,Monterrey,PMI,NTD Caps,Full Flavor,SSL,KS,1,422000,0
Turkey,Trabzon Airport,PMI,Regular,Full Flavor,STD,KS,42,891842400,0.5
Spain,A Coruna,PMI,Regular,Full Flavor,STD,KS,4,19807600,0.2
Mexico,Monterrey,PMI,NTD Caps,Full Flavor,STD,KS,1,6742400,0
Japan,Aomori,PMI,NTD Caps,Full Flavor,STD,KS,1,335000,0
China,Ningbo Lishe,PMI,Regular,Full Flavor,STD,KS,5,5205600,0.1
Namibia,Windhoek,PMI,Regular,Full Flavor,STD,KS,8,233758000,81.5
Egypt,Hurgada,PMI,Regular,Full Flavor,STD,KS,25,3077901199,9.1
Sierra Leone,Sierra Leone,PMI,Regular,Full Flavor,STD,KS,8,1217185600,100
Greece,Corfu,PMI,Regular,Full Flavor,SLI,KS,8,55730000,4.3
China,Chengdu Tianfu,PMI,NTD Caps,Full Flavor,STD,KS,5,100229840,1.3
Poland,Wroclaw,PMI,Regular,Full Flavor,STD,KS,11,880249400,7.4
South Africa,Cape Town,PMI,Regular,Full Flavor,STD,KS,5,56521200,14.8
Turkey,Gaziantep Airport,PMI,Regular,Full Flavor,STD,KS,56,1691769600,1
Latvia,Riga,PMI,Regular,Full Flavor,STD,KS,6,209747800,100
Aruba,Oranjestad,PMI,Regular,Full Flavor,STD,KS,14,938125800,50.5
Italy,Bergamo,PMI,Regular,Full Flavor,STD,KS,11,226329200,5.1
Egypt,Aswan,PMI,,,,,1,60038,0
Gambia,Banjul,PMI,Regular,Full Flavor,STD,KS,7,196095200,100
South Korea,Jeju,PMI,Regular,Lights,SLI,KS,1,217556600,1.3
Bahrain,Manama,PMI,Regular,Full Flavor,STD,KS,15,977810000,27
Japan,Naha,PMI,Menthol Caps,Full Flavor,STD,KS,4,13911000,0.1
Norway,Sandefjord-Torp,PMI,Menthol Caps,Full Flavor,STD,KS,2,5875140,1
Armenia,Yerevan,PMI,Regular,Full Flavor,STD,KS,6,203166400,100
Ecuador,Quito,PMI,Menthol Caps,Full Flavor,STD,KS,1,22015000,1.1
South Korea,Busan - Kimhae,PMI,NTD Caps,Full Flavor,STD,KS,5,114989800,0.7
France,Strasbourg,PMI,Regular,Full Flavor,STD,KS,4,9160600,0.1
Germany,Munster-Osnabruck,PMI,Regular,Full Flavor,SLI,KS,5,35563100,1.1
Italy,Verona,PMI,Regular,Full Flavor,STD,KS,10,96639400,2.2
Turkey,Samsun Airport,PMI,Regular,Full Flavor,STD,KS,55,1472665600,0.9
Morocco,Agadir,PMI,Menthol,Full Flavor,STD,KS,1,136603200,0.5
Sweden,Stockholm Arlanda,PMI,Regular,Full Flavor,STD,KS,6,213292800,96.2
Greece,Rhodes,PMI,Regular,Lights,STD,KS,1,51000,0
Poland,Katowice,PMI,Regular,Full Flavor,SLI,KS,2,76954800,0.7
Laos,Vientiane,PMI,NTD Caps,Full Flavor,STD,KS,3,22656200,15.6
South Korea,Jeju (downtown),PMI,Menthol Caps,Full Flavor,STD,KS,4,86681800,0.5
Great Britain,Liverpool,PMI,Regular,Full Flavor,SLI,KS,2,40993000,0.8
China,Qingdao Liuting,PMI,Menthol,Full Flavor,STD,KS,2,13886000,0.2
Iraq,Suleymania Airport,PMI,Regular,Full Flavor,STD,KS,10,121950000,3.3
Jordan,Aqaba,PMI,Regular,Full Flavor,SLI,KS,7,8695000,0.1
Dominican Republic,Samana El Catey,PMI,Regular,Full Flavor,STD,KS,6,20208400,0.2
Malaysia,Johor Bahru,PMI,Menthol,Full Flavor,SLI,KS,1,720000,0.1
India,Bangalore,PMI,Regular,Full Flavor,SLI,KS,5,88393376,1.9
Poland,Poznan-Lawica,PMI,Regular,Full Flavor,SLI,KS,2,58323200,0.5
Aruba,Oranjestad,PMI,Menthol Caps,Full Flavor,STD,KS,2,29487000,1.6
Japan,Kagoshima,PMI,Regular,Full Flavor,STD,KS,2,4078800,0
Austria,Salzburg,PMI,Regular,Full Flavor,STD,KS,4,6505000,9
France,Montpellier,PMI,Regular,Full Flavor,SLI,KS,2,70033600,0.6
Sweden,Malmo,PMI,Regular,Full Flavor,STD,KS,6,3720800,1.7
Kenya,Jomo Kenyatta,PMI,Menthol,Full Flavor,STD,KS,1,9477802,0.8
Guadalupe,Pointe-a-Pitre,PMI,Regular,Lights,STD,KS,2,25239800,2.7
China,Hangzhou Xiaoshan,PMI,Menthol,Full Flavor,STD,KS,2,24945600,0.3
Russia,Krasnoyarsk,PMI,NTD Caps,Full Flavor,STD,KS,1,148200,0
Czech Republic,Ostrava,PMI,Regular,Full Flavor,STD,KS,4,1857600,1.6
China,Yantai Penglai,PMI,Menthol Caps,Full Flavor,STD,KS,2,6116800,0.1
Great Britain,Glasgow Prestwick,PMI,Regular,Full Flavor,STD,KS,1,1944000,0
Germany,Paderborn,PMI,Regular,Full Flavor,SLI,KS,3,7706300,0.2
Morocco,Agadir,PMI,Regular,Full Flavor,SLI,KS,1,34419000,0.1
Netherlands,Eindhoven,PMI,Regular,Full Flavor,SLI,KS,2,15434800,3.2
Denmark,Faroe Islands,PMI,Regular,Full Flavor,SLI,KS,1,1200000,1.2
Russia,Novosibirsk,PMI,Regular,Full Flavor,STD,KS,5,3146400,0.6
France,Paris Charles De Gaulle,PMI,Regular,Full Flavor,SLI,KS,2,1865019600,15.4
Great Britain,London Heathrow,PMI,Regular,Full Flavor,SLI,KS,2,754066800,14.5
Brazil,Porto Alegre,PMI,Menthol,Full Flavor,STD,KS,1,281600,0
Mexico,Puerto Vallarta,PMI,Regular,Full Flavor,SLI,KS,3,342541200,2.1
China,Nanning Wuxu,PMI,Menthol Caps,Full Flavor,STD,KS,2,582400,0
France,Tarbes - Lourdes,PMI,Regular,Full Flavor,SLI,KS,1,1428000,0
Great Britain,Guernsey,PMI,Regular,Full Flavor,SLI,KS,2,2313148,0
Belize,Belize City,PMI,Menthol Caps,Full Flavor,STD,KS,1,15514450,3.9
Morocco,Marrakech,PMI,Menthol Caps,Full Flavor,STD,KS,3,229187200,0.9
Oman,Salalah,PMI,Menthol Caps,Full Flavor,STD,KS,1,49600,0
Philippines,Manila - Ninoy Aquino,PMI,Menthol Caps,Full Flavor,STD,KS,1,2742000,3.7
Australia,Sydney,PMI,Menthol Caps,Full Flavor,STD,KS,2,486096,1.9
Switzerland,Zurich,PMI,Menthol Caps,Full Flavor,STD,KS,2,16032000,0.8
France,Grenoble,PMI,Regular,Lights,STD,KS,1,333600,0
China,Ningbo Lishe,PMI,Menthol,Full Flavor,STD,KS,2,1282800,0
Indonesia,Ngurah Rai,PMI,Menthol Caps,Full Flavor,STD,KS,2,10664400,6.7
Spain,Granada,PMI,Regular,Full Flavor,SLI,KS,1,1522400,0
South Korea,Jeju,PMI,Menthol,Full Flavor,STD,KS,1,95634000,0.6
Oman,Salalah,PMI,Menthol,Full Flavor,STD,KS,1,2521200,0.1
Netherlands,Rotterdam,PMI,Regular,Full Flavor,STD,KS,1,878400,0.2
Croatia,Split,PMI,Regular,Full Flavor,STD,KS,1,9738000,27.1
Gibraltar,Gibraltar,PMI,Regular,Full Flavor,SLI,KS,1,2900000,0.8
Russia,St. Petersburg Pulkovo,PMI,Menthol Caps,Full Flavor,STD,KS,1,3650000,0.6
South Korea,Jeju (downtown),PMI,Regular,Lights,SLI,KS,1,6466400,0
Russia,Astrakhan,PMI,NTD Caps,Full Flavor,STD,KS,1,410400,0.1
China,Xuzhou Guanyin,PMI,NTD Caps,Full Flavor,STD,KS,1,525000,0
Turkey,Antalya Airport,PMI,Regular,Full Flavor,STD,KS,58,18129782000,11.1
Egypt,Alexandria,PMI,,,,,1,96339,0
Myanmar,Yangon,PMI,Regular,Full Flavor,STD,KS,2,8130000,26.1
Qatar,Doha,PMI,NTD Caps,Full Flavor,STD,KS,10,3564646000,20.2
Portugal,Lisbon,PMI,Regular,Full Flavor,STD,KS,4,205053800,28.7
Bangladesh,Zia,PMI,Regular,Full Flavor,SLI,KS,5,24822954,21.3
South Korea,Jeju,PMI,Regular,1mg,SSL,KS,1,62232600,0.4
Japan,Sendai,PMI,NTD Caps,Full Flavor,STD,KS,4,4994800,0
El Salvador,San Salvador Comalapa,PMI,Regular,Full Flavor,SLI,KS,3,582580200,44.4
Sri Lanka,Colombo,PMI,Regular,Full Flavor,STD,KS,20,508846764,49.9
Spain,Alicante,PMI,Regular,Full Flavor,STD,KS,8,1841170800,15.6
China,Yinchuan Hedong,PMI,Menthol,Full Flavor,STD,KS,3,241200,0
China,Xian Xianyang,PMI,Regular,Full Flavor,STD,KS,8,137755332,1.7
Canary Islands,La Palma,PMI,Regular,Full Flavor,SLI,KS,3,10134200,0.6
Taiwan,Taichung,PMI,Menthol Caps,Full Flavor,SLI,KS,1,1736680,0.1
Bahrain,Manama,PMI,NTD Caps,Full Flavor,STD,KS,7,534933200,14.8
France,Montpellier,PMI,Regular,Lights,STD,KS,1,3892000,0
Angola,Luanda,PMI,Regular,Full Flavor,SLI,KS,2,4630000,3.3
Germany,Munich,PMI,Regular,Full Flavor,SLI,KS,2,216773200,6.9
Tunisia,Enfidha,PMI,NTD Caps,Full Flavor,STD,KS,7,74584400,0.3
Angola,Luanda,PMI,Regular,Full Flavor,STD,KS,8,133032000,93.8
Norway,Oslo,PMI,Regular,Full Flavor,STD,KS,15,181552400,30.7
Turkey,Samsun Airport,PMI,Regular,Full Flavor,SSL,KS,3,23363200,0
Mexico,Mexico City,PMI,Regular,Full Flavor,STD,KS,12,1677764400,10.5
Rwanda,Kigali,PMI,Regular,Full Flavor,SLI,KS,2,56090000,31.3
Germany,Dortmund,PMI,Regular,Full Flavor,SLI,KS,3,9872600,0.3
France,Lyon Saint Exupery,PMI,Regular,Full Flavor,SLI,KS,2,243292000,2
Morocco,Marrakech,PMI,NTD Caps,Full Flavor,STD,KS,9,924785200,3.6
Argentina,Cordoba,PMI,Regular,Full Flavor,SLI,KS,6,7554600,1.8
Poland,Lublin,PMI,Regular,Full Flavor,SLI,KS,2,22060480,0.2
Bosnia-Herzegovinia,Sarajevo,PMI,Regular,Full Flavor,STD,KS,11,256109288,23.1
Japan,Tokyo - Shinjuku,PMI,NTD Caps,Full Flavor,STD,KS,7,119550800,0.9
South Korea,Busan - Kimhae (downtown),PMI,Regular,Full Flavor,STD,KS,10,501381000,3
Greece,Ioannina,PMI,Regular,Full Flavor,SLI,KS,5,146200,0
El Salvador,San Salvador Comalapa,PMI,Menthol,Full Flavor,STD,KS,3,63541600,4.8
China,Weihai Dashuibo,PMI,Regular,Full Flavor,STD,KS,3,3772200,0
Ecuador,Guayaquil,PMI,Regular,Full Flavor,STD,KS,4,434452800,22
Spain,Vigo,PMI,Regular,Full Flavor,STD,KS,5,9321200,0.1
China,Shanghai Hongqiao,PMI,Menthol,Full Flavor,STD,KS,2,2243934,0
United Arab Emirates,Ras El Khaymah,PMI,Regular,Full Flavor,STD,KS,17,385087200,1.1
India,Anna,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
South Korea,Busan - Kimhae (downtown),PMI,Regular,Full Flavor,SSL,KS,1,235200,0
Australia,Sydney,PMI,Regular,Full Flavor,STD,KS,4,3953162,15.3
China,Nanning Wuxu,PMI,NTD Caps,Full Flavor,STD,KS,5,1318200,0
Uganda,Entebbe,PMI,Regular,Full Flavor,SLI,KS,7,214683780,37.6
Mexico,Cozumel,PMI,Regular,Full Flavor,STD,KS,12,57178600,0.4
Uganda,Entebbe,PMI,Regular,Full Flavor,STD,KS,13,292456795,51.3
Greece,Santorini,PMI,Regular,Full Flavor,STD,KS,5,21987400,1.7
Egypt,Hurgada,PMI,Regular,Full Flavor,SLI,KS,7,2071047136,6.1
Italy,Milan - Malpensa,PMI,Regular,Full Flavor,STD,KS,14,849900600,19.2
Japan,Chubu,PMI,Regular,Full Flavor,STD,KS,11,362440400,2.7
Taiwan,Kaohsiung,PMI,Regular,Full Flavor,STD,KS,7,71005656,5.3
China,Shenyang Taoxian,PMI,Regular,Full Flavor,STD,KS,5,105248800,1.3
Ghana,Accra,PMI,Regular,Full Flavor,STD,KS,3,121971200,43.5
Ecuador,Quito,PMI,Regular,Full Flavor,SLI,KS,3,439770400,22.3
Vietnam,Danang Downtown Shop,PMI,NTD Caps,Full Flavor,STD,KS,3,105800,0
Brazil,Fortaleza,PMI,Regular,Full Flavor,SLI,KS,3,212444800,3.5
China,Beijing,PMI,NTD Caps,Full Flavor,STD,KS,5,103053600,1.3
Great Britain,London Heathrow,PMI,Regular,Full Flavor,STD,KS,4,795407800,15.3
United Arab Emirates,Abu Dhabi,PMI,Regular,Full Flavor,SLI,KS,6,1434007200,4.2
Spain,Bilbao,PMI,Regular,Full Flavor,SLI,KS,2,31682400,0.3
Cape Verde,Rabil,PMI,NTD Caps,Full Flavor,STD,KS,3,58034000,1
Dominican Republic,Samana El Catey,PMI,Regular,Full Flavor,SLI,KS,3,16079200,0.2
Kosovo,PRISTINA,PMI,Regular,Full Flavor,SLI,KS,1,7268800,32.4
Malaysia,Kota Kinabalu,PMI,Regular,Full Flavor,STD,KS,2,14985000,1.5
Greece,Chania,PMI,Regular,Full Flavor,STD,KS,6,34311000,2.7
Great Britain,Aberdeen,PMI,Regular,Full Flavor,SLI,KS,2,16515400,0.3
Greece,Rhodes,PMI,Regular,Full Flavor,SSL,KS,1,291200,0
Mexico,Queretaro,PMI,Regular,Full Flavor,STD,KS,2,1940268,0
Turkey,Trabzon Airport,PMI,Regular,Full Flavor,SLI,KS,5,7743000,0
Indonesia,Ngurah Rai,PMI,NTD Caps,Full Flavor,STD,KS,2,8769600,5.5
Ecuador,Guayaquil,PMI,Menthol Caps,Full Flavor,STD,KS,1,36050000,1.8
Mexico,Guadalajara,PMI,Menthol,Full Flavor,STD,KS,1,35059200,0.2
China,Dalian Zhoushuizi,PMI,Menthol Caps,Full Flavor,STD,KS,4,15091050,0.2
China,Wuhan Tianhe,PMI,Menthol Caps,Full Flavor,STD,KS,3,33756400,0.4
Caribbean Other,Basseterre (Saint Kitts),PMI,Regular,Full Flavor,SLI,KS,3,6410000,1.1
Switzerland,Geneva,PMI,Menthol Caps,Full Flavor,STD,KS,3,4420000,0.2
Taiwan,Taipei - Taoyuan,PMI,Menthol,Full Flavor,STD,KS,3,62284122,4.7
Canary Islands,Gran Canaria,PMI,Regular,Full Flavor,SLI,KS,3,318250200,17.3
Bosnia-Herzegovinia,Sarajevo,PMI,Regular,Full Flavor,SLI,KS,2,378491645,34.2
Madagascar,Tulear,PMI,Regular,Full Flavor,SLI,KS,1,116765130,35.8
Australia,Perth,PMI,Menthol Caps,Full Flavor,STD,KS,1,619500,2.4
Singapore,Singapore - Changi,PMI,Menthol Caps,Full Flavor,STD,KS,2,70095200,26.9
Portugal,Porto,PMI,Regular,Full Flavor,STD,KS,4,124573800,17.4
Greece,Karpathos,PMI,Regular,Full Flavor,STD,KS,1,294000,0
China,Yantai Penglai,PMI,NTD Caps,Full Flavor,STD,KS,2,3055000,0
Turkey,Eskisehir Airport,PMI,Regular,Full Flavor,SSL,KS,2,1078200,0
Saudi Arabia,RIYADH,PMI,Menthol Caps,Full Flavor,STD,KS,1,301000,0
China,Hebei,PMI,Menthol,Full Flavor,STD,KS,2,768800,0
Turkey,Adana Airport,PMI,Regular,Lights,STD,KS,1,828800,0
China,Ningbo Lishe,PMI,Menthol Caps,Full Flavor,STD,KS,3,5634000,0.1
China,Nanjing Lukou,PMI,Menthol,Full Flavor,STD,KS,1,12599928,0.2
Italy,Venice,PMI,Regular,Full Flavor,SLI,KS,3,47116000,1.1
Lithuania,Vilnius,PMI,Regular,Full Flavor,SLI,KS,1,5088000,2.4
Denmark,Billund,PMI,Regular,1mg,STD,KS,1,358656,0.4
South Korea,Yangyang,PMI,NTD Caps,Full Flavor,STD,KS,1,13000,0
New Zealand,Auckland,PMI,NTD Caps,Full Flavor,STD,KS,1,42000,0.4
